Nombre,Género,Fecha_Nacimiento,Altura,Peso,Profesión,Ciudad,Estado_Civil,Salario,Nivel_Educación,Cantidad_Hijos,Hora_Entrada,Hora_Salida,Tipo_Contrato
Luis,M,1961-08-26,1.62,85.6,Senior Financial Analyst,Medellín,Casada,5063748,Universitario,0,9:39 AM,10:34 PM,Indefinido
Gabriela,M,1962-04-15,1.85,83.8,Professor,Riohacha,Divorciado,1213860,Posgrado,5,9:10 AM,10:03 PM,Término Fijo
Mateo,M,1973-09-05,1.5,28.5,Staff Accountant III,Fusagasugá,Soltero,3617629,Técnico,2,7:06 AM,6:08 PM,Término Fijo
Camila,M,1978-12-03,1.55,98.2,Research Associate,Soledad,Casada,3520618,Bachillerato,2,6:16 AM,10:08 PM,Indefinido
Bruno,M,1964-07-16,1.72,86.1,Systems Administrator II,Chía,Casada,2752828,Universitario,5,8:48 AM,8:55 PM,Indefinido
Sofia,M,1979-02-10,1.59,98.5,Financial Analyst,Montería,Soltero,2051214,Técnico,7,7:53 AM,7:12 PM,Término Fijo
Diego,M,1993-02-20,1.73,49.5,Human Resources Manager,Soacha,Divorciado,5962652,Bachillerato,2,8:38 AM,7:54 PM,Término Fijo
Mateo,F,1975-01-31,1.51,89.1,Chief Design Engineer,Riohacha,Casada,1842482,Posgrado,1,9:30 AM,11:14 PM,Término Fijo
Camila,M,1982-06-12,1.85,30.1,Executive Secretary,Bucaramanga,Divorciado,1306931,Posgrado,6,5:54 AM,9:55 PM,Indefinido
Pedro,F,1959-03-31,1.46,91.6,Programmer Analyst II,Facatativá,Casada,4502015,Técnico,6,7:39 AM,9:47 PM,Indefinido
Gabriel,F,1952-06-08,1.4,109.1,Staff Scientist,Cali,Casada,4646682,Universitario,0,6:40 AM,9:54 PM,Término Fijo
Matías,M,1983-02-12,1.63,44.0,Electrical Engineer,Cartago,Divorciado,4447311,Bachillerato,6,8:26 AM,5:59 PM,Término Fijo
Luis,M,1952-06-27,1.47,83.6,Account Executive,Neiva,Casada,1735697,Posgrado,7,9:16 AM,7:26 PM,Indefinido
Luis,F,1967-04-11,1.45,57.8,Senior Quality Engineer,Yopal,Divorciado,2118797,Bachillerato,5,7:43 AM,5:38 PM,Indefinido
Thiago,F,1974-10-02,1.7,67.5,GIS Technical Architect,Arauca,Divorciado,3103389,Posgrado,2,5:41 AM,7:15 PM,Término Fijo
Mateo,F,1965-02-20,1.41,34.8,Environmental Specialist,Riohacha,Divorciado,4266075,Técnico,0,9:21 AM,6:31 PM,Indefinido
Sebastián,F,1967-12-25,1.71,97.7,Editor,Facatativá,Soltero,2944562,Posgrado,3,8:36 AM,11:29 PM,Indefinido
Sebastián,F,1957-01-27,1.69,76.9,Senior Developer,Fusagasugá,Casada,4397381,Técnico,4,8:09 AM,7:42 PM,Indefinido
Juliana,M,1988-09-19,1.44,53.2,Civil Engineer,Sogamoso,Soltero,2976348,Técnico,1,8:21 AM,6:22 PM,Término Fijo
Thiago,F,1983-11-16,1.73,89.0,VP Quality Control,Riohacha,Divorciado,1707355,Bachillerato,2,8:24 AM,9:20 PM,Indefinido
Mariana,M,1998-06-02,1.84,54.2,Health Coach I,Popayán,Soltero,2925474,Posgrado,5,6:10 AM,6:39 PM,Término Fijo
Emanuel,F,1990-10-04,1.64,81.8,Dental Hygienist,Neiva,Casada,3409743,Técnico,6,8:09 AM,5:53 PM,Término Fijo
Juliana,M,1972-04-30,1.55,84.7,Budget/Accounting Analyst II,Valledupar,Soltero,2128741,Posgrado,7,5:08 AM,7:19 PM,Indefinido
Gabriela,F,1996-02-18,1.46,99.1,VP Product Management,Barrancabermeja,Divorciado,5944843,Universitario,0,6:06 AM,5:32 PM,Término Fijo
Mateo,F,1952-05-13,1.7,83.2,Project Manager,Chía,Soltero,5063383,Bachillerato,5,8:33 AM,11:05 PM,Indefinido
Gabriel,M,1969-05-06,1.81,83.6,Information Systems Manager,Santa Marta,Soltero,5783935,Posgrado,6,6:25 AM,10:25 PM,Término Fijo
Lucas,F,1976-09-15,1.73,28.3,Senior Quality Engineer,Bucaramanga,Soltero,2604180,Técnico,7,8:45 AM,7:46 PM,Término Fijo
Thiago,F,1950-06-10,1.9,51.3,Community Outreach Specialist,Zipaquirá,Soltero,3955452,Posgrado,7,8:52 AM,7:57 PM,Indefinido
María,F,1998-07-29,1.52,74.9,Budget/Accounting Analyst II,Sincelejo,Soltero,3491801,Bachillerato,5,8:39 AM,8:37 PM,Indefinido
Bruno,M,1986-10-05,1.48,44.5,Tax Accountant,Riohacha,Casada,3018332,Bachillerato,6,6:35 AM,5:27 PM,Indefinido
Martina,M,1952-08-26,1.84,37.2,Account Executive,Arauca,Casada,3235018,Bachillerato,0,5:12 AM,9:38 PM,Indefinido
Felipe,F,1957-08-26,1.87,57.7,Mechanical Systems Engineer,Arauca,Casada,5517521,Posgrado,5,6:50 AM,6:57 PM,Indefinido
Diego,F,1994-01-19,1.75,105.0,Pharmacist,Fusagasugá,Divorciado,2589907,Técnico,0,8:02 AM,11:44 PM,Término Fijo
Sebastián,F,1951-07-21,1.73,54.1,Financial Analyst,Valledupar,Casada,5451431,Universitario,0,9:20 AM,10:15 PM,Indefinido
Valeria,M,1993-03-26,1.83,35.9,Design Engineer,Chía,Soltero,5501846,Posgrado,4,5:03 AM,6:15 PM,Término Fijo
Ana,M,1975-10-22,1.74,39.3,Legal Assistant,Pereira,Divorciado,1889477,Posgrado,0,7:03 AM,10:37 PM,Indefinido
Gabriel,F,1997-11-21,1.47,68.3,Editor,Itagüí,Casada,965920,Universitario,4,8:40 AM,11:14 PM,Indefinido
Emanuel,F,1970-01-11,1.78,38.7,Senior Cost Accountant,Florencia,Casada,5218406,Posgrado,8,9:04 AM,9:36 PM,Indefinido
Thiago,F,1966-05-04,1.54,63.7,Administrative Officer,Cartago,Soltero,5668934,Universitario,8,8:27 AM,5:36 PM,Término Fijo
Emanuel,F,1976-03-01,1.44,64.2,Analog Circuit Design manager,Facatativá,Soltero,5856488,Universitario,5,8:01 AM,6:32 PM,Indefinido
Diego,M,1988-05-05,1.43,35.7,Executive Secretary,Florencia,Divorciado,1152067,Posgrado,7,9:53 AM,9:11 PM,Indefinido
Pedro,M,1969-05-14,1.75,34.4,Project Manager,Girardot,Casada,2119190,Técnico,2,8:56 AM,7:04 PM,Indefinido
Laura,M,1977-06-19,1.78,63.0,Financial Analyst,Medellín,Divorciado,1150872,Posgrado,1,5:33 AM,5:45 PM,Indefinido
Camila,F,1996-02-17,1.67,89.1,Structural Analysis Engineer,Girardot,Casada,1306407,Posgrado,5,8:49 AM,7:55 PM,Término Fijo
Santiago,M,1980-07-12,1.85,47.7,GIS Technical Architect,Bucaramanga,Divorciado,5059615,Técnico,2,7:48 AM,10:06 PM,Término Fijo
Valeria,M,1988-08-15,1.63,64.5,Junior Executive,Girón,Casada,4472191,Técnico,3,7:28 AM,6:21 PM,Término Fijo
Lucas,M,1992-04-19,1.49,106.0,Media Manager I,Sincelejo,Divorciado,1172762,Universitario,1,6:56 AM,10:30 PM,Término Fijo
Ana,F,1987-10-07,1.85,60.7,Librarian,Cartago,Casada,2464421,Universitario,0,9:36 AM,7:21 PM,Indefinido
Felipe,M,1979-01-08,1.48,48.2,Financial Advisor,Quibdó,Soltero,5173270,Posgrado,1,6:56 AM,8:47 PM,Término Fijo
Laura,M,1976-04-23,1.43,71.6,Compensation Analyst,Barranquilla,Casada,2193722,Posgrado,8,7:28 AM,6:32 PM,Término Fijo
Sofia,F,1951-06-01,1.54,73.2,Quality Control Specialist,Maicao,Divorciado,3629126,Bachillerato,5,6:43 AM,9:39 PM,Término Fijo
Ana,M,1961-02-16,1.57,61.2,Analyst Programmer,Valledupar,Divorciado,2465136,Posgrado,2,7:56 AM,8:30 PM,Indefinido
Juan,F,1948-02-07,1.87,79.6,Analog Circuit Design manager,Soledad,Casada,2351041,Bachillerato,3,5:07 AM,5:00 PM,Indefinido
María,F,1952-07-07,1.78,106.2,Speech Pathologist,Palmira,Casada,3189171,Bachillerato,4,7:09 AM,10:14 PM,Indefinido
Diego,F,1973-03-06,1.79,102.6,Physical Therapy Assistant,Bogotá,Divorciado,3544733,Posgrado,4,7:48 AM,5:22 PM,Indefinido
Juan,M,1977-04-30,1.89,68.4,Marketing Manager,Armenia,Divorciado,4281832,Posgrado,7,8:46 AM,10:37 PM,Indefinido
Mateo,F,1951-03-08,1.48,80.4,Programmer Analyst II,Bogotá,Soltero,5248773,Universitario,4,6:49 AM,6:26 PM,Indefinido
Santiago,M,1952-06-19,1.67,90.3,Geologist IV,Villavicencio,Casada,3338817,Técnico,4,8:47 AM,9:08 PM,Indefinido
Thiago,M,1984-02-11,1.72,41.6,Teacher,Sogamoso,Soltero,1519168,Bachillerato,0,9:18 AM,9:46 PM,Indefinido
Gabriela,F,1992-05-26,1.61,83.1,Human Resources Assistant III,Tumaco,Divorciado,2412091,Técnico,1,5:48 AM,11:17 PM,Término Fijo
Diego,M,1961-07-15,1.51,83.1,Account Executive,Dosquebradas,Divorciado,4329457,Posgrado,2,8:59 AM,11:19 PM,Indefinido
Matías,F,1998-06-06,1.82,90.1,Editor,Buenaventura,Casada,3542718,Bachillerato,0,6:56 AM,8:15 PM,Término Fijo
Victoria,M,1999-07-26,1.82,103.2,Sales Associate,Envigado,Divorciado,1744533,Técnico,4,9:03 AM,10:22 PM,Indefinido
Diego,M,1955-08-29,1.67,71.7,VP Marketing,Cali,Soltero,3084210,Bachillerato,7,9:14 AM,5:21 PM,Indefinido
Felipe,M,1969-04-25,1.7,77.2,Mechanical Systems Engineer,Riohacha,Casada,5915583,Posgrado,8,6:15 AM,11:58 PM,Indefinido
Sebastián,F,1993-01-23,1.43,96.1,Research Assistant III,Buenaventura,Casada,1682420,Técnico,6,7:11 AM,8:01 PM,Indefinido
Gabriel,M,1988-03-30,1.84,62.6,Computer Systems Analyst I,Popayán,Divorciado,2964372,Técnico,1,5:33 AM,10:46 PM,Término Fijo
Gabriel,F,1991-04-11,1.52,34.7,Marketing Assistant,Arauca,Casada,3486660,Técnico,2,8:06 AM,6:26 PM,Indefinido
Martina,F,1948-04-15,1.59,55.6,Physical Therapy Assistant,Barrancabermeja,Soltero,1066260,Universitario,0,9:11 AM,8:33 PM,Indefinido
Valentina,F,1981-02-03,1.68,89.7,Physical Therapy Assistant,Valledupar,Casada,1158605,Universitario,1,5:53 AM,8:35 PM,Término Fijo
Gabriela,F,1994-08-29,1.85,86.7,Account Executive,Cartagena,Casada,4746378,Bachillerato,4,8:27 AM,8:08 PM,Término Fijo
Mariana,F,1949-06-20,1.6,86.6,Senior Quality Engineer,Montería,Soltero,5955406,Bachillerato,6,7:02 AM,10:29 PM,Indefinido
Martina,F,2000-12-28,1.85,59.3,Project Manager,Cúcuta,Soltero,1438871,Posgrado,1,8:48 AM,9:52 PM,Indefinido
Santiago,M,1988-07-16,1.46,54.8,Nurse Practicioner,Popayán,Casada,1980327,Posgrado,6,6:50 AM,7:15 PM,Término Fijo
María,M,1973-09-16,1.68,74.5,Actuary,Neiva,Soltero,1017311,Bachillerato,7,7:02 AM,5:35 PM,Término Fijo
Martina,M,1965-11-23,1.5,90.1,Occupational Therapist,Quibdó,Soltero,4550630,Bachillerato,8,7:25 AM,8:42 PM,Término Fijo
Valeria,F,1966-11-26,1.83,86.0,Internal Auditor,Arauca,Casada,3176844,Universitario,4,6:25 AM,10:12 PM,Término Fijo
Victoria,F,1985-11-15,1.6,49.4,Research Assistant IV,Magangué,Divorciado,1934618,Universitario,5,5:13 AM,7:07 PM,Indefinido
Juan,M,1976-02-04,1.83,46.1,Assistant Media Planner,Pasto,Divorciado,4192811,Técnico,8,5:32 AM,6:54 PM,Término Fijo
Laura,M,1957-11-26,1.87,48.8,Graphic Designer,Floridablanca,Casada,3965641,Universitario,1,8:50 AM,6:40 PM,Término Fijo
Pedro,M,1993-07-18,1.83,45.8,Data Coordinator,Cartago,Divorciado,3280206,Universitario,3,9:20 AM,9:12 PM,Indefinido
Camila,M,1995-11-17,1.44,89.6,Business Systems Development Analyst,Ocaña,Soltero,2508771,Bachillerato,6,9:29 AM,5:07 PM,Indefinido
Matías,M,1951-05-05,1.44,55.1,Director of Sales,Riohacha,Soltero,4943272,Posgrado,4,5:45 AM,5:18 PM,Término Fijo
Martina,F,1951-09-12,1.76,106.7,Legal Assistant,Tunja,Casada,5926631,Técnico,1,9:20 AM,5:54 PM,Indefinido
Matías,M,1954-10-20,1.81,94.3,Engineer III,Yopal,Soltero,4824730,Bachillerato,3,6:24 AM,5:27 PM,Indefinido
Gabriel,F,1999-04-17,1.43,106.0,Office Assistant III,Barrancabermeja,Divorciado,3429307,Posgrado,3,5:45 AM,5:41 PM,Término Fijo
Pedro,M,1964-08-22,1.59,78.4,Paralegal,Florencia,Soltero,2963996,Universitario,6,8:22 AM,6:33 PM,Indefinido
Camila,M,1994-03-28,1.86,71.0,Staff Accountant IV,Soledad,Soltero,4422192,Universitario,2,5:48 AM,6:14 PM,Término Fijo
Joaquín,F,1952-01-25,1.54,64.4,Registered Nurse,Florencia,Soltero,3773565,Posgrado,6,5:55 AM,11:25 PM,Término Fijo
Santiago,F,1960-05-18,1.72,49.1,Statistician II,Soacha,Casada,5874481,Posgrado,5,7:19 AM,9:13 PM,Indefinido
Lucas,F,1953-12-18,1.51,71.0,Operator,Itagüí,Casada,3149653,Posgrado,3,9:34 AM,11:28 PM,Término Fijo
Valeria,F,1975-12-28,1.59,39.1,VP Sales,Sincelejo,Casada,4473796,Posgrado,5,9:37 AM,9:20 PM,Indefinido
Laura,F,1962-10-29,1.75,102.6,Physical Therapy Assistant,Soacha,Casada,1963682,Bachillerato,5,6:56 AM,6:19 PM,Indefinido
Valentina,F,1995-05-06,1.88,84.9,Human Resources Assistant IV,Pereira,Casada,5647756,Técnico,8,6:53 AM,9:26 PM,Término Fijo
Sofia,F,1994-09-26,1.64,46.1,Administrative Assistant III,Florencia,Casada,4351627,Bachillerato,7,8:59 AM,8:38 PM,Término Fijo
Gabriel,M,1953-04-28,1.57,54.9,Help Desk Technician,Pereira,Casada,5772502,Técnico,3,5:59 AM,7:54 PM,Indefinido
Antonella,M,1991-09-10,1.56,102.0,Financial Advisor,Soledad,Casada,4149104,Bachillerato,5,7:01 AM,5:11 PM,Término Fijo
Laura,F,1980-10-13,1.52,67.5,VP Marketing,Barranquilla,Soltero,4549176,Bachillerato,7,6:12 AM,8:16 PM,Término Fijo
Ana,M,1983-08-04,1.66,33.9,Executive Secretary,Apartadó,Divorciado,5453177,Técnico,8,9:54 AM,8:36 PM,Término Fijo
Valentina,M,1970-12-19,1.56,64.0,Occupational Therapist,Yopal,Soltero,5315046,Bachillerato,5,8:24 AM,7:33 PM,Indefinido
Emanuel,F,1981-10-27,1.87,40.1,Developer IV,Girardot,Soltero,1862638,Posgrado,8,9:18 AM,11:10 PM,Indefinido
Sebastián,M,1992-08-23,1.49,100.7,Senior Sales Associate,Ibagué,Casada,1575570,Posgrado,4,8:35 AM,9:09 PM,Término Fijo
Mariana,M,1975-08-31,1.66,98.8,Physical Therapy Assistant,Armenia,Soltero,1352928,Bachillerato,1,7:14 AM,6:34 PM,Término Fijo
Gabriel,M,1978-12-20,1.79,99.8,Desktop Support Technician,Cartagena,Casada,3645907,Posgrado,7,9:33 AM,5:00 PM,Término Fijo
Juan,F,1964-03-23,1.83,48.8,Help Desk Operator,Buenaventura,Soltero,5846625,Universitario,6,9:40 AM,6:02 PM,Término Fijo
Sofia,M,1980-05-13,1.83,76.9,Pharmacist,Cartagena,Casada,2890320,Bachillerato,1,9:57 AM,5:23 PM,Término Fijo
Joaquín,F,1972-11-27,1.84,101.1,Biostatistician III,Sincelejo,Divorciado,5767021,Técnico,7,5:04 AM,7:13 PM,Término Fijo
María,M,1995-03-31,1.81,69.2,Desktop Support Technician,Sogamoso,Divorciado,3450004,Bachillerato,2,5:47 AM,7:07 PM,Indefinido
Sebastián,F,1969-04-29,1.47,83.2,Financial Analyst,Sincelejo,Divorciado,3087326,Técnico,6,9:15 AM,8:37 PM,Indefinido
Matías,M,1957-08-26,1.63,72.0,Technical Writer,Bucaramanga,Divorciado,4501693,Técnico,3,7:30 AM,9:30 PM,Término Fijo
Mateo,F,1987-09-30,1.47,108.5,Senior Quality Engineer,Riohacha,Divorciado,2519225,Técnico,8,6:42 AM,10:30 PM,Término Fijo
Valeria,M,1951-02-14,1.75,59.7,Web Designer III,Montería,Soltero,952355,Universitario,5,8:53 AM,6:41 PM,Indefinido
Thiago,F,1975-04-10,1.8,49.8,Registered Nurse,Fusagasugá,Soltero,3829039,Posgrado,0,5:23 AM,6:43 PM,Término Fijo
Juliana,M,1956-07-08,1.89,34.8,Research Assistant III,Facatativá,Soltero,4792773,Técnico,2,9:58 AM,6:33 PM,Indefinido
Antonella,F,1971-08-27,1.44,26.3,Marketing Manager,Sogamoso,Divorciado,2918321,Técnico,3,9:41 AM,8:07 PM,Término Fijo
Isabella,M,1982-01-16,1.69,59.7,Research Nurse,Bucaramanga,Divorciado,3883440,Posgrado,0,9:38 AM,10:06 PM,Término Fijo
Gabriela,F,1990-07-01,1.54,38.8,Senior Developer,Yopal,Divorciado,4549082,Posgrado,1,5:27 AM,8:07 PM,Indefinido
Laura,F,1950-03-21,1.8,80.8,Professor,Chía,Divorciado,2982976,Posgrado,0,5:04 AM,7:34 PM,Término Fijo
Felipe,F,1999-04-13,1.81,80.8,Help Desk Operator,Riohacha,Casada,1193920,Posgrado,8,5:02 AM,11:21 PM,Término Fijo
Mateo,M,1952-12-08,1.72,72.1,Clinical Specialist,Cartagena,Casada,5719723,Universitario,3,7:33 AM,5:21 PM,Término Fijo
María,M,1996-07-03,1.78,69.7,General Manager,Itagüí,Soltero,2542527,Posgrado,4,6:45 AM,6:02 PM,Término Fijo
Thiago,M,1980-12-12,1.86,68.8,Engineer II,Girón,Casada,2530241,Universitario,6,6:22 AM,10:45 PM,Término Fijo
Mariana,F,1958-08-04,1.47,100.9,General Manager,Valledupar,Casada,1984989,Técnico,1,8:21 AM,8:00 PM,Indefinido
Antonella,M,1966-01-16,1.74,41.8,Safety Technician IV,Riohacha,Soltero,4110169,Bachillerato,0,7:46 AM,7:56 PM,Indefinido
Felipe,F,1999-05-28,1.7,96.9,Sales Associate,Sincelejo,Divorciado,1609242,Técnico,0,9:44 AM,5:20 PM,Indefinido
Valentina,M,1965-09-19,1.8,71.0,Geologist II,Florencia,Soltero,1129644,Posgrado,7,9:29 AM,9:22 PM,Indefinido
Juan,M,1965-12-15,1.47,75.0,Librarian,Chía,Soltero,4148169,Universitario,3,8:03 AM,10:17 PM,Término Fijo
Sebastián,F,1995-03-13,1.85,105.7,Food Chemist,Florencia,Soltero,1854790,Técnico,6,6:23 AM,8:57 PM,Indefinido
Martina,F,1972-05-15,1.6,85.3,Graphic Designer,Villavicencio,Casada,5777177,Técnico,5,7:18 AM,7:29 PM,Indefinido
Juliana,F,1994-08-17,1.5,27.7,Electrical Engineer,Riohacha,Casada,2704662,Bachillerato,8,8:14 AM,5:43 PM,Término Fijo
Diego,M,1995-01-22,1.65,70.7,Payment Adjustment Coordinator,Santa Marta,Casada,5325610,Posgrado,6,7:56 AM,5:25 PM,Término Fijo
Thiago,M,1955-04-02,1.44,91.6,Tax Accountant,Chía,Soltero,4564278,Bachillerato,0,9:33 AM,7:19 PM,Indefinido
Felipe,M,1976-04-06,1.56,103.3,Sales Representative,Soacha,Soltero,4295148,Universitario,3,7:54 AM,11:19 PM,Término Fijo
Matías,M,1977-03-10,1.8,40.0,Quality Engineer,Soledad,Soltero,3493326,Posgrado,4,7:49 AM,10:45 PM,Término Fijo
Ana,M,1968-02-25,1.8,105.3,Database Administrator II,Sogamoso,Divorciado,5047569,Posgrado,2,8:50 AM,5:41 PM,Término Fijo
María,M,1977-06-24,1.56,107.3,Junior Executive,Girón,Soltero,4800706,Técnico,6,9:36 AM,10:34 PM,Término Fijo
Joaquín,M,1962-04-04,1.43,96.8,Librarian,Riohacha,Soltero,2638106,Posgrado,4,5:54 AM,9:19 PM,Término Fijo
Thiago,M,1966-03-10,1.56,82.2,Senior Sales Associate,Neiva,Divorciado,4067859,Técnico,6,8:11 AM,6:21 PM,Término Fijo
Ana,F,1990-05-27,1.87,96.2,Software Test Engineer II,Tunja,Casada,2231250,Técnico,3,9:27 AM,10:24 PM,Indefinido
Sofia,M,1952-08-04,1.88,82.9,Product Engineer,Pereira,Soltero,1801290,Universitario,4,7:50 AM,9:49 PM,Término Fijo
Valeria,M,1980-08-04,1.77,31.4,Office Assistant IV,Soacha,Casada,1214582,Posgrado,7,6:19 AM,9:39 PM,Término Fijo
Sebastián,F,1961-02-24,1.41,84.8,Associate Professor,Riohacha,Casada,2734789,Universitario,4,7:25 AM,10:27 PM,Término Fijo
Mateo,M,1999-07-02,1.56,84.6,General Manager,Apartadó,Divorciado,4903259,Universitario,7,7:38 AM,9:31 PM,Indefinido
Bruno,F,1954-08-18,1.44,39.4,Business Systems Development Analyst,Cartago,Soltero,4523022,Posgrado,7,5:05 AM,5:33 PM,Indefinido
Antonella,F,1987-11-17,1.51,52.3,Senior Developer,Tunja,Soltero,2204718,Bachillerato,7,5:30 AM,11:54 PM,Indefinido
Matías,F,1973-06-09,1.77,72.3,Teacher,Magangué,Soltero,1772500,Universitario,2,8:18 AM,10:27 PM,Indefinido
Mariana,M,1950-07-26,1.56,75.6,Account Representative IV,Facatativá,Divorciado,5344084,Posgrado,7,7:03 AM,11:31 PM,Indefinido
Mariana,M,1983-04-02,1.49,59.7,Software Test Engineer I,Ocaña,Casada,2779547,Técnico,3,8:06 AM,11:23 PM,Término Fijo
María,M,1983-09-18,1.43,37.7,Safety Technician III,Palmira,Casada,4683516,Posgrado,8,5:18 AM,8:54 PM,Indefinido
Camila,F,1980-12-06,1.56,81.2,Food Chemist,Riohacha,Casada,2129900,Bachillerato,3,9:42 AM,8:27 PM,Indefinido
Juan,F,1984-04-20,1.66,81.8,Sales Representative,Neiva,Soltero,5084020,Técnico,5,9:00 AM,8:57 PM,Indefinido
Emanuel,F,1968-06-15,1.77,59.4,Media Manager III,Valledupar,Soltero,4777401,Universitario,8,9:16 AM,6:28 PM,Indefinido
Pedro,M,1961-02-14,1.47,75.2,Occupational Therapist,Apartadó,Divorciado,4308791,Universitario,3,7:19 AM,6:44 PM,Indefinido
Gabriela,M,1990-06-04,1.42,95.3,Dental Hygienist,Dosquebradas,Casada,2918056,Posgrado,1,7:39 AM,8:17 PM,Indefinido
Isabella,F,1977-03-10,1.85,56.4,Pharmacist,Montería,Divorciado,2852189,Posgrado,7,8:00 AM,9:13 PM,Término Fijo
Pedro,M,1970-02-09,1.76,51.4,Help Desk Operator,Magangué,Soltero,5609944,Posgrado,2,9:58 AM,11:46 PM,Indefinido
Bruno,F,1975-08-19,1.7,69.8,Assistant Media Planner,Girón,Divorciado,1301077,Técnico,3,9:27 AM,10:37 PM,Término Fijo
Victoria,M,1965-04-01,1.88,29.5,Sales Representative,Medellín,Divorciado,4355806,Técnico,3,7:37 AM,10:35 PM,Indefinido
Gabriel,F,1997-06-01,1.68,55.2,General Manager,Palmira,Divorciado,1496755,Técnico,2,8:24 AM,8:34 PM,Indefinido
Felipe,M,1997-06-02,1.88,63.1,Administrative Assistant II,Pasto,Casada,5041815,Bachillerato,4,5:40 AM,9:14 PM,Término Fijo
Sofia,M,1956-08-25,1.77,29.7,Environmental Specialist,Pereira,Soltero,1600902,Universitario,6,5:54 AM,11:07 PM,Indefinido
Santiago,M,1986-06-10,1.62,50.0,Operator,Fusagasugá,Casada,4569097,Posgrado,3,9:57 AM,6:42 PM,Indefinido
Joaquín,M,1967-10-10,1.62,74.6,Office Assistant III,Magangué,Casada,3189283,Universitario,5,5:44 AM,6:46 PM,Indefinido
Bruno,M,1957-06-11,1.45,80.1,Marketing Manager,Pereira,Soltero,4243975,Bachillerato,4,5:21 AM,6:22 PM,Término Fijo
Isabella,M,1950-04-16,1.54,97.4,Research Nurse,Yopal,Casada,2591801,Posgrado,2,8:27 AM,5:25 PM,Término Fijo
Isabella,M,1981-08-07,1.54,40.0,Occupational Therapist,Arauca,Casada,5126805,Universitario,4,6:59 AM,5:46 PM,Término Fijo
Antonella,M,1986-11-05,1.83,38.9,Associate Professor,Apartadó,Soltero,4606986,Posgrado,0,7:17 AM,8:22 PM,Término Fijo
Gabriel,M,1963-12-26,1.42,30.5,Graphic Designer,Cali,Soltero,4876833,Posgrado,3,5:17 AM,5:46 PM,Término Fijo
María,F,1968-03-18,1.89,97.2,Web Developer III,Cartago,Soltero,4636417,Técnico,4,8:39 AM,10:33 PM,Término Fijo
Thiago,F,1984-07-06,1.67,57.8,Food Chemist,Tumaco,Soltero,4532948,Bachillerato,6,5:53 AM,5:04 PM,Indefinido
Juan,F,1969-03-28,1.62,79.5,Research Associate,Manizales,Casada,1222812,Técnico,7,7:59 AM,8:52 PM,Indefinido
Victoria,M,1998-08-09,1.76,73.7,Recruiter,Sincelejo,Divorciado,4238672,Técnico,5,6:24 AM,8:53 PM,Término Fijo
Pedro,M,1970-07-18,1.53,84.4,Food Chemist,Manizales,Casada,4069086,Bachillerato,4,7:07 AM,5:32 PM,Término Fijo
Isabella,M,1982-05-28,1.44,64.8,Environmental Specialist,Popayán,Casada,3300300,Técnico,0,9:40 AM,8:17 PM,Indefinido
Antonella,F,1953-03-10,1.55,51.9,Legal Assistant,Sincelejo,Divorciado,3445384,Técnico,1,5:03 AM,8:33 PM,Indefinido
Antonella,M,1960-06-05,1.62,105.4,Financial Advisor,Tumaco,Divorciado,4061137,Técnico,4,7:20 AM,8:39 PM,Indefinido
Gabriela,F,1962-04-28,1.65,84.9,Automation Specialist IV,Cartagena,Divorciado,5071336,Bachillerato,2,5:43 AM,8:11 PM,Término Fijo
Isabella,M,1959-03-18,1.79,104.3,Financial Analyst,Yopal,Casada,3981516,Técnico,3,8:31 AM,11:47 PM,Término Fijo
Bruno,M,1959-05-08,1.47,38.0,Professor,Medellín,Soltero,3505727,Técnico,5,5:43 AM,6:56 PM,Indefinido
Gabriela,M,1983-05-27,1.46,52.4,Programmer Analyst II,Palmira,Casada,2191870,Técnico,5,9:05 AM,6:53 PM,Término Fijo
Sofia,M,1963-02-06,1.52,34.9,Analyst Programmer,Buenaventura,Soltero,4554621,Bachillerato,6,5:52 AM,7:41 PM,Término Fijo
Valeria,M,1996-02-26,1.84,39.9,Dental Hygienist,Quibdó,Divorciado,3338241,Técnico,3,8:20 AM,10:36 PM,Indefinido
Antonella,F,1972-10-29,1.48,34.7,Budget/Accounting Analyst II,Bogotá,Soltero,5214767,Técnico,8,6:21 AM,9:31 PM,Término Fijo
Valentina,M,1975-07-26,1.7,70.8,Product Engineer,Sogamoso,Divorciado,4358594,Universitario,6,8:34 AM,11:53 PM,Indefinido
Pedro,F,1968-10-08,1.4,54.2,Compensation Analyst,Palmira,Casada,3888809,Bachillerato,0,7:54 AM,9:53 PM,Término Fijo
Mariana,F,1956-10-01,1.5,75.7,GIS Technical Architect,Cúcuta,Divorciado,3230143,Universitario,4,9:56 AM,6:22 PM,Indefinido
Emanuel,F,1981-02-27,1.78,54.1,Cost Accountant,Maicao,Divorciado,5471659,Universitario,8,5:12 AM,5:54 PM,Indefinido
Gabriela,M,1966-01-10,1.87,67.1,Nurse Practicioner,Barranquilla,Divorciado,4591241,Bachillerato,0,9:57 AM,10:06 PM,Indefinido
Isabella,F,1975-01-01,1.9,31.0,Civil Engineer,Pereira,Divorciado,4035530,Bachillerato,1,7:59 AM,9:38 PM,Término Fijo
Victoria,F,1964-09-08,1.43,86.7,Junior Executive,Riohacha,Divorciado,4896986,Técnico,7,5:34 AM,10:42 PM,Indefinido
